CODICE,TIPO,TITOLO,DESCRIZIONE,DESTINAZIONE,DURATA_GIORNI,BUDGET_CATEGORIA,COSTO_TOTALE_PP,TIPO_VIAGGIO,ETA_MIN,ETA_MAX,GENERE,STATO,IMMAGINE_URL
V001,viaggio,Bangkok Experience,Esplora la capitale della Thailandia tra templi e street food,Thailandia,7,LOW,850,pubblico,25,35,misto,aperto,https://images.unsplash.com/photo-1508009603885-50cf7c579365
V002,viaggio,Grecia Isole da Sogno,Tour delle isole greche: Santorini e Mykonos,Grecia,10,MEDIUM,1450,pubblico,28,45,misto,aperto,https://images.unsplash.com/photo-1613395877344-13d4a8e0d49e
V003,viaggio,Cuba Autentica,Immergiti nella cultura cubana tra Havana e Trinidad,Cuba,9,LOW,920,pubblico,30,50,misto,aperto,https://images.unsplash.com/photo-1500759285222-a95626b934cb
V004,viaggio,Marocco Imperiale,Città imperiali e deserto del Sahara,Marocco,10,MEDIUM,1280,pubblico,25,40,uomini,aperto,https://images.unsplash.com/photo-1489749798305-4fea3ae63d43
V005,viaggio,Spagna Costa Brava,Barcellona e Costa Brava: arte e mare,Spagna,7,HIGH,1850,pubblico,22,38,uomini,aperto,https://images.unsplash.com/photo-1562883676-8c7feb83f09b
V006,viaggio,Giappone Tradizione,Tokyo e Kyoto: tra modernità e tradizione,Giappone,10,MEDIUM,2100,pubblico,25,45,misto,aperto,https://images.unsplash.com/photo-1589908234698-8e38077ca1f0
V007,viaggio,Thailandia Mare e Isole,Phuket e Koh Samui: paradiso tropicale,Thailandia,9,HIGH,1680,pubblico,28,40,misto,aperto,https://images.unsplash.com/photo-1552465011-b4e21bf6e79a
V008,viaggio,Grecia Classica,Atene e siti archeologici,Grecia,6,LOW,780,pubblico,30,55,misto,completo,https://images.unsplash.com/photo-1555993539-1732b0258235
V009,viaggio,Cuba Santiago,Esplora est Cuba: Santiago e Baracoa,Cuba,7,LOW,850,pubblico,25,45,misto,aperto,https://images.unsplash.com/photo-1518105779142-d975f22f1b0a
V010,viaggio,Marocco Costa Atlantica,Essaouira e le spiagge,Marocco,7,HIGH,1520,pubblico,30,50,misto,aperto,https://images.unsplash.com/photo-1674109830287-433d9ec7f2c7
V011,viaggio,Spagna Andalusia,Siviglia Granada Cordoba: flamenco,Spagna,9,MEDIUM,1190,pubblico,25,40,donne,aperto,https://images.unsplash.com/photo-1688404808661-92f72f2ea258
V012,viaggio,Giappone Monte Fuji,Tokyo e Monte Fuji,Giappone,10,HIGH,2380,pubblico,35,45,misto,aperto,https://images.unsplash.com/photo-1490806843957-31f4c9a91c65
V013,viaggio,Thailandia Chiang Mai,Nord Thailandia: templi e natura,Thailandia,8,MEDIUM,1050,pubblico,25,38,uomini,aperto,https://images.unsplash.com/photo-1597629008285-a10132d20913
V014,viaggio,Grecia Creta,Isola di Creta: spiagge e archeologia,Grecia,8,HIGH,1720,pubblico,28,45,misto,aperto,https://images.unsplash.com/photo-1667307450731-c4e7eeb9e8b3
V015,viaggio,Weekend Barcellona,3 giorni a Barcellona,Spagna,3,MEDIUM,620,pubblico,22,35,misto,aperto,https://images.unsplash.com/photo-1583422409516-2895a77efded
V016,viaggio,Marocco Deserto,Tour deserto Sahara,Marocco,8,HIGH,2150,pubblico,30,50,misto,aperto,https://images.unsplash.com/photo-1613169620329-6785c004d900
V017,viaggio,Cuba Economica,Low cost Cuba: Havana essenziale,Cuba,7,LOW,680,pubblico,20,35,misto,aperto,https://images.unsplash.com/photo-1518754744014-dcca006cd68f
V018,viaggio,Giappone Solo Donne,Tour del Giappone per sole donne,Giappone,10,MEDIUM,1980,pubblico,25,40,donne,aperto,https://images.unsplash.com/photo-1528360983277-13d401cdc186
V019,viaggio,Thailandia Completa,Gran tour: Bangkok Chiang Mai e isole,Thailandia,14,MEDIUM,1850,pubblico,25,45,misto,aperto,https://images.unsplash.com/photo-1574266306055-e7ff0240ded7
V020,viaggio,Grecia Lusso Santorini,Vacanza luxury a Santorini,Grecia,7,HIGH,2650,pubblico,35,55,donne,aperto,https://images.unsplash.com/photo-1570077188670-e3a8d69ac5ff
