CODICE,TIPO,DESTINAZIONE,ZONA,ZONA_COLLEGATA,ORDINE,ESPERIENZE,DIFFICOLTA,SLOT,PRX_PAX,DESCRIZIONE,EXTRA_1,EXTRA_2,EXTRA_3,EXTRA_4,EXTRA_5,EXTRA_6,EXTRA_7,EXTRA_8,EXTRA_9
XTHBA01,X,THAILANDIA,BANGKOK,ZTHBA1,01,Tour Privato di Bangkok in auto  (min2),1,2,111,Tour in auto del Grand Palace del Wat Pho e del Wat Arun,,,,,,,,,
XTHBA02,X,THAILANDIA,BANGKOK,ZTHBA1,02,Damnoen Saduak e Maeklong,2,2,41,Mercato di Damnoen Saduak e Mercato ferroviario di Maeklong,ETHBA04,ETHBA05,ETHBA06,,,,,,
XTHBA03,X,THAILANDIA,BANGKOK,ZTHBA1,03,Antico Siam,1,2,60,Tour guidato dei templi di Ayutthaya,ETHBA07,ETHBA08,ETHBA09,,,,,,
XTHBA04,X,THAILANDIA,BANGKOK,ZTHBA1,04,Tour Ferrovia della morte,2,3,84,Tour della ferrovia della morte e dell'Hellfire Pass,ETHBA10,,,,,,,,
XTHBA05,X,THAILANDIA,BANGKOK,ZTHBA1,05,Santuario degli Elefanti,1,2,62,Escursione di un giorno al Santuario degli Elefanti Living Green,ETHBA11,ETHBA12,,,,,,,
XTHBA06,X,THAILANDIA,BANGKOK,ZTHBA1,06,Escursione a Pattaya da Bangkok,2,3,79,Escursione di un giorno a Pattaya Koh Larn e Santuario della Verità,,,,,,,,,
XTHBA07,X,THAILANDIA,BANGKOK,ZTHBA1,07,,,,,,,,,,,,,,
XTHBA08,X,THAILANDIA,BANGKOK,ZTHBA1,08,Tour dei Templi,1,1,20,"Un tour di mezza giornata che copre le attrazioni principali come il Palazzo Reale; il Tempio del Buddha di Smeraldo; Wat Trimit (Buddha d'Oro) e Wat Pho",ETHBA01,ETHBA02,ETHBA03,,,,,,
XTHBA09,X,THAILANDIA,BANGKOK,ZTHBA1,09,Tuk Tuk Tour,2,1,37,"Esplora la città di notte con un tour in tuk-tuk; che può includere visite ai mercati e assaggi di street food; ad esempio a Chinatown.",ETHBA13,,,,,,,,
XTHBA10,X,THAILANDIA,BANGKOK,ZTHBA1,10,Mahanakhon SkyWalk,1,1,62,Biglietto d'ingresso per Mahanakhon SkyWalk con opzioni,,,,,,,,,
XTHBA11,X,THAILANDIA,BANGKOK,ZTHBA1,11,Crociera di Lusso,1,1,51,"Crociera di lusso con cena; birra e vino a volontà",,,,,,,,,
XTHBA12,X,THAILANDIA,BANGKOK,ZTHBA1,12,Coocking Class Thailandese,1,1,43,Corso di cucina tailandese e tour del mercato,,,,,,,,,
XTHCH01,X,THAILANDIA,CHIANG MAI,ZTHCH2,01,Tour dei Templi di Chiang Mai,2,1,23,Tour di mezza giornata del Wat Pha Lat e del Wat Phra That Doi Suthep,ETHCH1,,,,,,,,
XTHCH02,X,THAILANDIA,CHIANG MAI,ZTHCH2,02,Tour dei Templi di Chiang Rai,2,3,26,Escursione di un giorno ai templi di Chiang Rai,,,,,,,,,
XTHCH03,X,THAILANDIA,CHIANG MAI,ZTHCH2,03,Long Neck e Templi,2,3,58,"Templi bianchi; blu e rossi; tour del collo lungo",,,,,,,,,
XTHCH04,X,THAILANDIA,CHIANG MAI,ZTHCH2,04,Elephant Jungle Sanctuary,2,2,59,,,,,,,,,,
XTHCH05,X,THAILANDIA,CHIANG MAI,ZTHCH2,05,Doi Inthanon,2,3,62,Tour ecologico del Parco Nazionale di Doi Inthanon,,,,,,,,,
XTHCH06,X,THAILANDIA,CHIANG MAI,ZTHCH2,06,Doi Inthanon Lowcost,2,3,46,Tour ecologico del Parco Nazionale di Doi Inthanon,,,,,,,,,
