CODICE,TIPO,DESTINAZIONE,ZONA,ORDINE,PLUS,LIVELLO_PLUS,CATEGORIA,DESCRIZIONE,APPLICABILE_A,PREREQUISITO,PRZ_PAX_GEN,PRZ_PAX_FEB,PRZ_PAX_MAR,PRZ_PAX_APR,PRZ_PAX_MAG,PRZ_PAX_GIU,PRZ_PAX_LUG,PRZ_PAX_AGO,PRZ_PAX_SET,PRZ_PAX_OTT,PRZ_PAX_NOV,PRZ_PAX_DIC,INCLUDE,NON_INCLUDE,TERMINI,ICON,POPOLARITA,RISPARMIO_PERCENTUALE
ETHBA01,P,THAILANDIA,BANGKOK,1,Upgrade Camera Superior,L4,Upgrade Hotel,Upgrade da camera standard a superior con vista città e spazio maggiorato,Hotel,Budget LOW o MEDIUM,25,25,25,28,30,32,35,35,30,28,25,28,"Camera più grande;Vista città;Minibar incluso;Upgrade garantito",Check-in anticipato;Late checkout,Soggetto a disponibilità - prenotare in anticipo,🏨,alta,0
ETHBA02,P,THAILANDIA,BANGKOK,2,Suite con Vista Fiume,L4,Upgrade Hotel,Upgrade a suite con vista fiume Chao Phraya e balcone privato,Hotel,Budget MEDIUM,80,80,80,90,100,110,125,125,105,95,80,90,"Suite 40mq+;Balcone vista fiume;Minibar premium;Welcome fruit;Bathrobe",Transfer;Colazione extra,Soggetto a disponibilità,🏨,alta,0
ETHBA03,P,THAILANDIA,BANGKOK,3,Early Check-in 10am,L4,Servizio Hotel,Check-in anticipato alle 10:00 invece delle 14:00 - perfetto per arrivi mattutini,Hotel,Qualsiasi budget,20,20,20,22,25,28,30,30,26,23,20,22,Check-in garantito ore 10:00;Camera pronta,Colazione non inclusa se non nel pacchetto,Garantito con prenotazione 48h prima,⏰,media,0
ETHBA04,P,THAILANDIA,BANGKOK,4,Late Checkout 18:00,L4,Servizio Hotel,Checkout posticipato alle 18:00 invece delle 11:00 - perfetto per voli serali,Hotel,Qualsiasi budget,25,25,25,28,30,33,38,38,32,28,25,28,Checkout ore 18:00 garantito;Uso camera fino partenza,Pranzo;Servizi extra,Soggetto a disponibilità - prenotare,⏰,alta,0
ETHBA05,P,THAILANDIA,BANGKOK,5,Accesso Spa Premium,L4,Servizio Hotel,Accesso illimitato spa hotel con 1 massaggio Thai incluso (90min),Hotel,Budget MEDIUM o HIGH,45,45,45,48,52,58,65,65,55,50,45,48,"Accesso spa illimitato 24h;Massaggio Thai 90min;Sauna;Steam;Piscina relax",Trattamenti extra;Beauty,Valido per tutto il soggiorno,💆,media,0
EVOLO01,P,TUTTE,TUTTE,6,Upgrade Business Class,L4,Upgrade Volo,Upgrade da Economy a Business Class con seat flat-bed e lounge access,Volo,Solo voli MEDIUM,450,450,420,480,520,580,650,680,550,500,420,480,"Business flat seat;Lounge access;Priority boarding;Bagaglio 40kg;Chef menu;Champagne",Transfer aeroporto,Non rimborsabile dopo emissione,✈️,alta,0
EVOLO02,P,TUTTE,TUTTE,7,Upgrade Premium Economy,L4,Upgrade Volo,Upgrade da Economy a Premium Economy con più spazio gambe e servizi,Volo,Solo voli LOW,120,120,110,130,145,165,185,195,160,140,110,130,"Sedile più ampio;Extra legroom 10cm;Priority boarding;Pasto premium;Bagaglio +5kg",Lounge access,Soggetto a disponibilità,✈️,alta,0
EVOLO03,P,TUTTE,TUTTE,8,Bagaglio Extra 10kg,L4,Servizio Volo,Aggiunta bagaglio da stiva extra 10kg per shopping e souvenir,Volo,Qualsiasi volo,35,35,35,38,42,48,55,55,45,40,35,38,Bagaglio stiva extra 10kg,Priority handling,Deve essere aggiunto prima del check-in,🧳,alta,0
EVOLO04,P,TUTTE,TUTTE,9,Scelta Posto Premium,L4,Servizio Volo,Selezione posto finestra/corridoio con extra legroom nelle file preferenziali,Volo,Qualsiasi volo Economy,25,25,25,28,30,35,40,40,32,28,25,28,"Posto garantito finestra o corridoio;Extra legroom;Imbarco prioritario zona 2",Lounge;Fast track,Prenotazione anticipata consigliata,💺,media,0
EVOLO05,P,TUTTE,TUTTE,10,Fast Track Security,L4,Servizio Aeroporto,Accesso corsia veloce ai controlli di sicurezza aeroporto - risparmia 30-60min,Aeroporto partenza,Qualsiasi volo,18,18,18,20,22,25,28,28,23,20,18,20,Corsia prioritaria security;Risparmio tempo fino 60min,Lounge access;Immigration,Valido solo aeroporto partenza,⚡,alta,0
EVOLO06,P,TUTTE,TUTTE,11,Lounge Access 3 ore,L4,Servizio Aeroporto,Accesso lounge aeroporto con buffet - drink illimitati e WiFi - 3 ore,Aeroporto,Voli Economy LOW o MEDIUM,40,40,40,42,45,50,58,58,48,43,40,42,"Buffet caldo e freddo;Drink illimitati alcolici e analcolici;WiFi veloce;Docce;Relax area",Spa lounge;Sleeping pods,Max 3 ore prima partenza,🍷,media,0
ETRAN01,P,TUTTE,TUTTE,12,Transfer Privato Aeroporto-Hotel,L4,Transfer,Auto privata con autista aeroporto-hotel solo per il tuo gruppo,Aeroporto arrivo,Qualsiasi,35,35,35,38,42,45,50,50,43,38,35,38,"Auto privata;Autista professionale;Meet&Greet con cartello;Acqua a bordo;WiFi auto",Autostrada toll se presente;Mancia,Cancellazione gratuita 24h prima,🚗,alta,0
ETRAN02,P,TUTTE,TUTTE,13,Transfer Lusso Limousine,L4,Transfer,Limousine Mercedes classe E con autista in divisa e servizio premium,Aeroporto arrivo,Budget MEDIUM o HIGH,75,75,75,80,85,95,110,110,90,82,75,80,"Limousine Mercedes/BMW;Autista in divisa;Meet&Greet VIP;Acqua e snack;WiFi;Caricatore phone",Toll;Mancia;Extra stop,Cancellazione 48h prima,🚙,media,0
ETRAN03,P,TUTTE,TUTTE,14,Van Privato per Gruppo 6-8 Persone,L4,Transfer,Van privato spazioso per gruppi fino 8 persone con bagagli,Aeroporto,Gruppi 6-8 persone,65,65,65,70,75,82,95,95,78,72,65,70,"Van Mercedes Vito o simile;Autista;Meet&Greet;Spazio 8 persone + bagagli;Acqua;AC",Toll;Mancia,Prezzo per veicolo non per persona,🚐,media,0
ETRAN04,P,TUTTE,TUTTE,15,Transfer con Sosta Panoramica,L4,Transfer Premium,Transfer con sosta foto in punto panoramico iconico + welcome drink,Transfer,Qualsiasi transfer privato,25,25,25,28,30,32,35,35,30,28,25,28,"Sosta foto 15min punto panoramico;Welcome drink locale;Spiegazioni autista",Extra stop;Biglietti attrazioni,Solo se compatibile con percorso,📸,bassa,0
EASSIC01,P,TUTTE,TUTTE,16,Assicurazione Viaggio Completa,L5,Assicurazione,Copertura completa: medica - bagaglio - annullamento - ritardi e interruzione viaggio,Intero viaggio,Qualsiasi pacchetto,45,45,45,48,52,58,65,68,55,50,45,48,"Copertura medica €100k;Annullamento qualsiasi motivo;Bagaglio €2000;Ritardo volo;Interruzione viaggio;H24 assistance",Franchigia €50;Eventi noti,Deve essere acquistata entro 48h da prenotazione,🛡️,alta,0
EASSIC02,P,TUTTE,TUTTE,17,Assicurazione Medica Base,L5,Assicurazione,Copertura medica ed evacuazione emergenza - essenziale per destinazioni extra-EU,Viaggio,Destinazioni extra-EU,25,25,25,28,30,33,38,38,32,28,25,28,"Copertura medica €50k;Evacuazione emergenza;Rimpatrio sanitario;H24 assistance multilingua",Bagaglio;Annullamento,Obbligatoria per alcuni paesi,🏥,alta,0
EASSIC03,P,TUTTE,TUTTE,18,Annullamento Flessibile,L5,Assicurazione,Rimborso 100% per annullamento fino 48h prima partenza per qualsiasi motivo,Prenotazione,Qualsiasi pacchetto,35,35,35,38,42,48,55,58,45,40,35,38,Annullamento fino 48h prima;Rimborso 100%;Qualsiasi motivo documentabile,Cambio date (solo annullamento),Da acquistare entro 7gg da prenotazione,🔄,alta,0
ESERV01,P,TUTTE,TUTTE,19,SIM Card Locale con Dati,L5,Servizio Tech,SIM card locale preconfigurata con GB illimitati per tutta la durata viaggio,Destinazione,Qualsiasi,20,20,20,20,22,25,28,28,24,22,20,20,"SIM preconfigurata;Dati illimitati durata viaggio;Numero locale;Hotspot;Consegna in hotel",Chiamate internazionali,Compatibile con phone unlocked,📱,alta,0
ESERV02,P,TUTTE,TUTTE,20,Pocket WiFi Illimitato,L5,Servizio Tech,Dispositivo WiFi portatile con connessione illimitata fino 5 device,Viaggio,Qualsiasi,8,8,8,8,9,10,12,12,10,9,8,8,"WiFi illimitato;Connette 5 device;Batteria 12h;4G/5G;Consegna e ritiro hotel",Caricatore universale incluso,Deposito cauzionale €50,📶,media,0
ESERV03,P,TUTTE,TUTTE,21,Guida Privata Italiana Giornata,L5,Servizio Guida,Guida locale parlante italiano dedicata per 8 ore - massima flessibilità,Qualsiasi giorno,Minimo 2 persone,120,120,120,130,140,155,175,180,150,135,120,130,"Guida italiana 8h;Itinerario personalizzato;Trasporto con autista;Acqua;Flessibilità totale",Biglietti ingressi;Pranzo,Prenotazione 72h prima,👨‍🏫,media,0
ESERV04,P,TUTTE,TUTTE,22,Fotografo Professionista 2 Ore,L5,Servizio Premium,Fotografo professionista per 2 ore nei luoghi iconici + 50 foto editate,Qualsiasi esperienza,Coppie o gruppi,95,95,95,100,108,120,135,140,115,105,95,100,"Servizio 2h;50+ foto editate professionali;Consegna digitale 7gg;Location scouting",Stampe;Album;Extra ore,Prenotazione anticipata per sunrise/sunset,📷,bassa,0
ESERV05,P,TUTTE,TUTTE,23,Interprete Privato Giornata,L5,Servizio Comunicazione,Interprete italiano-lingua locale per 8 ore - per business o esigenze speciali,Qualsiasi giorno,Richiesta specifica,100,100,100,108,115,125,140,145,120,110,100,108,"Interprete 8h;Italiano-lingua locale;Disponibile per meeting/visite/emergenze",Trasporto interprete,Solo destinazioni con servizio disponibile,💬,bassa,0
ETHBA06,P,THAILANDIA,BANGKOK,24,Private Longtail Boat Chao Phraya,L3,Esperienza Premium,Barca longtail privata 2 ore sul fiume con snack e drink - esperienza autentica,Esperienza fiume,Qualsiasi esperienza Bangkok,35,35,35,38,42,45,50,50,43,38,35,38,"Longtail boat privata 2h;Capitano locale;Snack e drink;Itinerario flessibile;Sunset option",Cena;Biglietti templi,Massimo 4 persone per barca,⛵,media,0
ETHBA07,P,THAILANDIA,BANGKOK,25,Cooking Class Privata con Chef,L3,Esperienza Premium,Lezione cucina thailandese privata 1-on-1 con chef in cucina professionale,Cooking class,Esperienza cibo Bangkok,30,30,30,32,35,38,42,42,36,33,30,32,"Lezione privata 3h;Chef dedicato;Ingredienti premium;Ricette take-home;Video ricordo",Mercato (opzionale +15€),Max 2 persone,👨‍🍳,bassa,0
ETHCH01,P,THAILANDIA,CHIANG MAI,26,Elephant Sanctuary VIP Experience,L3,Esperienza Premium,Esperienza VIP santuario con gruppo max 6 persone e pranzo premium,Elephant sanctuary,Esperienza elefanti standard,40,40,40,43,48,52,58,60,50,45,40,43,"Gruppo mini 6 persone;Più tempo con elefanti;Pranzo premium;Guida dedicata;Donazione extra santuario",Transfer privato (opzionale +25€),Prenotazione minimo 5gg prima,🐘,alta,0
ETHPH01,P,THAILANDIA,PHUKET,27,Phi Phi Islands Speedboat Privato,L3,Esperienza Premium,Speedboat privato Phi Phi per il tuo gruppo con itinerario flessibile,Tour isole,Minimo 4 persone,150,150,150,165,180,200,230,240,190,170,150,165,"Speedboat privato;Itinerario personalizzato;Capitano e crew;Equipment snorkeling;Pranzo;Bevande illimitate",Biglietto Maya Bay;National park,Prezzo per barca fino 8 persone,🚤,media,0
EGRAT01,P,GRECIA,ATENE,28,Acropoli Skip-the-Line VIP,L3,Esperienza Premium,Ingresso prioritario Acropoli prima apertura con gruppo max 8 persone,Tour Acropoli,Esperienza Acropoli standard,35,35,35,38,42,48,55,58,45,40,35,38,"Ingresso 30min prima apertura pubblica;Gruppo mini 8 persone;Guida archeologa privata;No code;Foto senza turisti",Museo incluso nel tour standard,Solo mattina ore 7:30,🏛️,alta,0
EGRSA01,P,GRECIA,SANTORINI,29,Oia Sunset Tavolo Riservato,L3,Esperienza Premium,Tavolo riservato premium location Oia per tramonto + cocktail e appetizer,Sunset Oia,Minimo 2 persone,45,45,45,50,58,68,80,85,65,55,45,50,"Tavolo riservato best location;2 cocktail signature;Appetizer meze;Prenotazione garantita",Cena completa;Extra drink,Prenotazione minimo 48h prima,🌅,alta,0
EGRSA02,P,GRECIA,SANTORINI,30,Sailing Catamaran Privato,L3,Esperienza Premium,Catamarano privato con skipper per il tuo gruppo con itinerario custom,Sailing tour,Minimo 4 persone,280,280,280,310,340,390,450,470,370,330,280,310,"Catamarano privato;Skipper professionista;Itinerario personalizzato;BBQ chef a bordo;Open bar;Snorkeling",Transfer porto,Prezzo per barca fino 10 persone,⛵,media,0
