CODICE,TIPO,DESTINAZIONE,ZONA,DESCRIZIONE,TIPO_AREA,CARATTERISTICHE,CITTA_PRINCIPALE,AEROPORTO_PIU_VICINO,PERIODO_MIGLIORE,IMMAGINE_URL
ZTHBA,Z,THAILANDIA,BANGKOK,"Metropoli vibrante e caotica con templi dorati, mercati galleggianti, street food leggendario e vita notturna. Cuore pulsante della Thailandia moderna.",città,"Templi,Shopping,Street food,Vita notturna,Mercati,Grattacieli",Bangkok,BKK,Novembre-Febbraio,https://images.unsplash.com/photo-1508009603885-50cf7c579365
ZTHCH,Z,THAILANDIA,CHIANG MAI,"Città culturale del nord circondata da montagne e foreste. Templi antichi, santuari di elefanti, trekking e atmosfera rilassata.",montagna,"Templi,Trekking,Elefanti,Natura,Mercati notturni,Cooking class",Chiang Mai,CNX,Novembre-Febbraio,https://images.unsplash.com/photo-1598970434795-0c54fe7c0648
ZTHPH,Z,THAILANDIA,PHUKET,"Isole paradisiache con spiagge di sabbia bianca, mare cristallino e vita notturna. Base perfetta per esplorare Phi Phi e le isole vicine.",mare,"Spiagge,Diving,Snorkeling,Isole,Beach club,Vita notturna",Phuket,HKT,Dicembre-Marzo,https://images.unsplash.com/photo-1589394815804-964ed0be2eb5
ZTHKO,Z,THAILANDIA,KOH SAMUI,"Isola tropicale nel Golfo di Thailandia con spiagge tranquille, resort di lusso e atmosfera rilassata. Meno affollata di Phuket.",mare,"Spiagge,Relax,Spa,Resort,Cascate,Snorkeling",Koh Samui,USM,Gennaio-Agosto,https://images.unsplash.com/photo-1583163883648-26b1d43c48c7
ZTHPA,Z,THAILANDIA,PATTHAYA,Città balneare vivace con spiagge affollate e vita notturna intensa. Mix di relax mare e divertimento.,mare,"Spiagge,Vita notturna,Water sports,Shopping,Beach clubs,Escursioni isole",Patthaya,BKK,Novembre-Febbraio,https://images.unsplash.com/photo-1552465011-b4e21bf6e79a
ZVIHA,Z,VIETNAM,HANOI,"Capitale millenaria con lago Hoan Kiem, Quartiere Vecchio caotico e street food autentico. Mix perfetto di cultura francese e vietnamita.",città,"Templi,Laghi,Quartiere Vecchio,Street food,Musei,Cultura",Hanoi,HAN,Novembre-Aprile,https://images.unsplash.com/photo-1509205477838-a534e43a849f
ZVIHL,Z,VIETNAM,HA LONG BAY,"Baia patrimonio UNESCO con migliaia di isole calcaree, grotte spettacolari e villaggi galleggianti. Paesaggio da sogno.",mare,"Isole,Grotte,Crociere,Kayak,Villaggi galleggianti,Unesco",Ha Long,HPH,Ottobre-Aprile,https://images.unsplash.com/photo-1528127269322-539801943592
ZVIHN,Z,VIETNAM,HOI AN,"Antica città portuale con lanterne colorate, sartorie artigianali e atmosfera romantica. Centro storico UNESCO perfettamente conservato.",città-mare,"Città antica,Lanterne,Sartorie,Spiagge,Cucina,Unesco",Hoi An,DAD,Febbraio-Maggio,https://images.unsplash.com/photo-1583417319070-4a69db38a482
ZVIHO,Z,VIETNAM,HO CHI MINH,"Ex Saigon, metropoli vibrante e moderna con mercati caotici, architettura coloniale e vita notturna energica. Cuore economico del Vietnam.",città,"Mercati,Architettura coloniale,Vita notturna,Shopping,Cucina,Storia",Ho Chi Minh,SGN,Dicembre-Aprile,https://images.unsplash.com/photo-1583417667550-27d2c6943a0f
ZGRAT,Z,GRECIA,ATENE,"Capitale storica con l'Acropoli, Partenone e musei archeologici. Mix perfetto tra storia antica e vita urbana moderna.",città,"Storia,Musei,Archeologia,Vita urbana,Taverne,Quartieri storici",Atene,ATH,Aprile-Giugno / Settembre-Ottobre,https://images.unsplash.com/photo-1555993539-1732b0258235
ZGRSA,Z,GRECIA,SANTORINI,"Isola vulcanica iconica con villaggi bianchi e blu, tramonti mozzafiato a Oia e spiagge vulcaniche uniche.",mare,"Tramonti,Villaggi,Spiagge vulcaniche,Wine tour,Romantico,Fotografia",Fira-Oia,JTR,Aprile-Ottobre,https://images.unsplash.com/photo-1613395877344-13d4a8e0d49e
ZGRCR,Z,GRECIA,CRETA,"Isola più grande della Grecia con spiagge, rovine minoiche, gole spettacolari e autenticità. Mix perfetto di mare, cultura e avventura.",mare,"Spiagge,Storia minoica,Trekking,Cucina,Villaggi autentici,Archeologia",Heraklion,HER,Maggio-Ottobre,https://images.unsplash.com/photo-1589523211496-8e88dc5786b6
ZCUHA,Z,CUBA,L'AVANA,"Capitale affascinante con auto d'epoca, architettura coloniale, musica salsa e Malecon. Centro storico UNESCO Patrimonio dell'Umanità.",città,"Architettura coloniale,Auto d'epoca,Musica,Sigari,Rum,Storia,Malecon",L'Avana,HAV,Novembre-Aprile,https://images.unsplash.com/photo-1489924034176-2e678c29d4c6
ZCUVI,Z,CUBA,VIÑALES,"Valle verdissima con mogotes (formazioni calcaree), piantagioni di tabacco e vita rurale autentica. Paesaggio UNESCO.",natura,"Natura,Tabacco,Grotte,Trekking,Equitazione,Paesaggi,Ruraltà",Viñales,VRA,Novembre-Aprile,https://images.unsplash.com/photo-1581967133852-c6324f96ebad
ZCUTR,Z,CUBA,TRINIDAD,"Città coloniale perfettamente conservata con case colorate, Plaza Mayor e spiagge caraibiche vicine. Atmosfera romantica e autentica.",città-mare,"Architettura coloniale,Storia,Spiagge vicine,Musica,Danza,Artigianato",Trinidad,SNU,Novembre-Aprile,https://images.unsplash.com/photo-1582559205574-0d51dda7e1f2
ZMAMA,Z,MAROCCO,MARRAKECH,"Città imperiale con medina labirintica, souq colorati, Piazza Jemaa el-Fna e giardini Majorelle. Cuore pulsante del Marocco.",città,"Medina,Souq,Palazzi,Giardini,Hammam,Street food,Artigianato",Marrakech,RAK,Marzo-Maggio / Settembre-Novembre,https://images.unsplash.com/photo-1489749798305-4fea3ae63d43
ZMADE,Z,MAROCCO,DESERTO SAHARA,"Dune dorate del deserto con notti stellate, campo berbero e alba magica. Esperienza indimenticabile tra le dune di Erg Chebbi.",deserto,"Dune,Cammelli,Campo berbero,Stelle,Alba nel deserto,Cultura berbera",Merzouga,ERH,Ottobre-Aprile,https://images.unsplash.com/photo-1551632811-561732d1e306
ZMAES,Z,MAROCCO,ESSAOUIRA,"Città costiera rilassata con medina UNESCO, spiagge ventose perfette per surf e atmosfera artistica bohémien. Respiro sul mare.",mare,"Spiagge,Surf,Kitesurf,Medina,Seafood,Arte,Porto peschereccio",Essaouira,ESU,Aprile-Ottobre,https://images.unsplash.com/photo-1611407434984-143a1e29f8f7
ZSPBA,Z,SPAGNA,BARCELLONA,"Capitale catalana con Sagrada Familia, Gaudí, Ramblas, spiagge urbane e tapas. Architettura modernista e vita mediterranea vibrante.",città,"Gaudí,Architettura,Spiagge urbane,Tapas,Vita notturna,Arte,Shopping",Barcellona,BCN,Aprile-Giugno / Settembre-Ottobre,https://images.unsplash.com/photo-1583422409516-2895a77efded
ZSPMA,Z,SPAGNA,MADRID,"Capitale reale con musei del Prado, Reina Sofia, movida notturna leggendaria e parchi. Cuore culturale e gastronomico della Spagna.",città,"Musei,Arte,Movida,Tapas,Parchi,Palazzi reali,Flamenco",Madrid,MAD,Aprile-Giugno / Settembre-Ottobre,https://images.unsplash.com/photo-1543783207-ec64e4d95325
ZSPAN,Z,SPAGNA,ANDALUSIA,"Regione del sud con Alhambra di Granada, Mezquita di Córdoba, flamenco a Siviglia e pueblos blancos. Cultura araba-spagnola unica.",città-cultura,"Alhambra,Flamenco,Architettura moresca,Tapas,Pueblos blancos,Oleifici",Siviglia,SVQ,Marzo-Giugno / Settembre-Novembre,https://images.unsplash.com/photo-1558642452-9d2a7deb7f62
ZGITO,Z,GIAPPONE,TOKYO,"Metropoli futuristica con quartieri ultramoderni, templi antichi, cultura pop e cucina stellata. Contrasti unici tra tradizione e innovazione.",città,"Grattacieli,Templi,Shopping,Anime,Cucina,Tecnologia,Vita notturna",Tokyo,NRT-HND,Marzo-Maggio / Settembre-Novembre,https://images.unsplash.com/photo-1540959733332-eab4deabeeaf
ZGIKY,Z,GIAPPONE,KYOTO,"Antica capitale con 2000 templi, giardini zen, geishe, foresta di bambù e cerimonie del tè. Cuore spirituale e culturale del Giappone.",città-cultura,"Templi,Geishe,Giardini zen,Bambù,Cerimonia del tè,Tradizione,Kimono",Kyoto,ITM-KIX,Marzo-Maggio / Ottobre-Novembre,https://images.unsplash.com/photo-1493976040374-85c8e12f0c0e
ZGIOS,Z,GIAPPONE,OSAKA,"Città gourmet con street food leggendario, castello storico e vita notturna energica. Base perfetta per esplorare Nara e dintorni.",città,"Street food,Castello,Vita notturna,Cucina,Dotonbori,Shopping,Divertimento",Osaka,KIX,Marzo-Maggio / Settembre-Novembre,https://images.unsplash.com/photo-1589452271712-64b8a66c7b71
